month,views,article,access_type
2019-09-01,30046,Velociraptor,mobile
2019-10-01,41333,Velociraptor,mobile
2019-11-01,27167,Velociraptor,mobile
2019-12-01,31056,Velociraptor,mobile
2020-01-01,35893,Velociraptor,mobile
2020-02-01,32354,Velociraptor,mobile
2020-03-01,41157,Velociraptor,mobile
2020-04-01,49921,Velociraptor,mobile
2020-05-01,48353,Velociraptor,mobile
2020-06-01,53613,Velociraptor,mobile
2020-07-01,46136,Velociraptor,mobile
2020-08-01,65390,Velociraptor,mobile
2020-09-01,42379,Velociraptor,mobile
2020-10-01,35143,Velociraptor,mobile
2020-11-01,30394,Velociraptor,mobile
2020-12-01,39250,Velociraptor,mobile
2021-01-01,35973,Velociraptor,mobile
2021-02-01,37625,Velociraptor,mobile
2021-03-01,37401,Velociraptor,mobile
2021-04-01,35967,Velociraptor,mobile
2021-05-01,39606,Velociraptor,mobile
2021-06-01,39028,Velociraptor,mobile
2021-07-01,32476,Velociraptor,mobile
2021-08-01,35386,Velociraptor,mobile
2021-09-01,31895,Velociraptor,mobile
2021-10-01,32690,Velociraptor,mobile
2021-11-01,26978,Velociraptor,mobile
2021-12-01,31393,Velociraptor,mobile
2022-01-01,34895,Velociraptor,mobile
2022-02-01,32918,Velociraptor,mobile
2022-03-01,28241,Velociraptor,mobile
2022-04-01,31582,Velociraptor,mobile
2022-05-01,45282,Velociraptor,mobile
2022-06-01,75803,Velociraptor,mobile
2022-07-01,46600,Velociraptor,mobile
2022-08-01,34763,Velociraptor,mobile
2022-09-01,29919,Velociraptor,mobile
2015-07-01,464,Achelousaurus,mobile
2015-08-01,321,Achelousaurus,mobile
2015-09-01,301,Achelousaurus,mobile
2015-10-01,322,Achelousaurus,mobile
2015-11-01,325,Achelousaurus,mobile
2015-12-01,321,Achelousaurus,mobile
2016-01-01,344,Achelousaurus,mobile
2016-02-01,267,Achelousaurus,mobile
2016-03-01,317,Achelousaurus,mobile
2016-04-01,258,Achelousaurus,mobile
2016-05-01,348,Achelousaurus,mobile
2016-06-01,337,Achelousaurus,mobile
2016-07-01,291,Achelousaurus,mobile
2016-08-01,292,Achelousaurus,mobile
2016-09-01,280,Achelousaurus,mobile
2016-10-01,305,Achelousaurus,mobile
2016-11-01,300,Achelousaurus,mobile
2016-12-01,294,Achelousaurus,mobile
2017-01-01,358,Achelousaurus,mobile
2017-02-01,286,Achelousaurus,mobile
2017-03-01,372,Achelousaurus,mobile
2017-04-01,316,Achelousaurus,mobile
2017-05-01,347,Achelousaurus,mobile
2017-06-01,319,Achelousaurus,mobile
2017-07-01,357,Achelousaurus,mobile
2017-08-01,363,Achelousaurus,mobile
2017-09-01,326,Achelousaurus,mobile
2017-10-01,325,Achelousaurus,mobile
2017-11-01,362,Achelousaurus,mobile
2017-12-01,412,Achelousaurus,mobile
2018-01-01,432,Achelousaurus,mobile
2018-02-01,367,Achelousaurus,mobile
2018-03-01,427,Achelousaurus,mobile
2018-04-01,473,Achelousaurus,mobile
2018-05-01,498,Achelousaurus,mobile
2018-06-01,572,Achelousaurus,mobile
2018-07-01,673,Achelousaurus,mobile
2018-08-01,547,Achelousaurus,mobile
2018-09-01,427,Achelousaurus,mobile
2018-10-01,437,Achelousaurus,mobile
2018-11-01,458,Achelousaurus,mobile
2018-12-01,435,Achelousaurus,mobile
2019-01-01,441,Achelousaurus,mobile
2019-02-01,408,Achelousaurus,mobile
2019-03-01,484,Achelousaurus,mobile
